# Source Name       RA+DEC       TIME(min)
3C002      000623-000047     10
Tycho      002514+640839     20
3C026      005408-033355     10
3C043      012959+233820     4
3C048      013741+330935     8
01551      015741-104341     10
3C067      022412+275011     10  
3C071      024240-000047     8     
3C084      031948+413042     8 
FORNA      032242-371229     12  
3C119      043236+413828     8 
PictA      051949-454644     8
3C138      052109+163822     8
3C144      053432+220052     8*   
3C147      054236+495107     6 
3C152      060428+202121     8
3C157      061637+223154     8* 
3C158      062141+143211     4  
3C161      062710-055305     4  
3C186      074417+375317     4 
3C190      080133+141442     8  
3C196      081336+481302     8
08341      083711-195156     8   
3C208      085308+135254     8
3C216      090933+425346     8
3C218      091805-120544     8* 
3C225      094212+134852     8
3C230      095159-000127     8
3C237      100800+073016     8
3C238	   101100+062440     3
3C241      102154+215930     8
3C245      104244+120331     8
3C255      111925-030251     8
3C264      114505+193622     10 
3C270      122034+334312     8
3C273	   122906+020309     8 
3C274      123049+122328     20
3C283      131140-221704     8
Cen-A      132527-430108     20
3C286      133108+303033     8
3C295      141120+521209     6
3C298	   141908+062835     8
3C318      152005+201606     8
3C348 	   165108+045933     8*
3C353      172028-005847     10
Sgr-A      174540-290028     20
17591      180138+135123     8
18190      182228-093856     8
19381      194115-152431     8
3C405      195928+404402     12*
3C422	   204710-023622     10
3C433      212344+250412     8
3C444      221425-170136     8 
3C446      222547-045701     10
454.3      225358+160853     8*
3C456      231228+091929     4*
3C459      231635+040518     6
3C461 	   232328+584842     12*
MARK4      110427+381231    10
